CustomerID,Lookalikes
C0004,"[('C0113', 0.8769), ('C0012', 0.8374), ('C0104', 0.8125)]"
C0006,"[('C0169', 0.7878), ('C0153', 0.6957), ('C0082', 0.6788)]"
C0012,"[('C0113', 0.903), ('C0104', 0.8887), ('C0163', 0.8648)]"
C0013,"[('C0099', 0.9512), ('C0188', 0.9026), ('C0165', 0.7434)]"
C0021,"[('C0101', 0.8851), ('C0028', 0.7565), ('C0175', 0.737)]"
C0022,"[('C0093', 0.8861), ('C0145', 0.8172), ('C0040', 0.6912)]"
C0028,"[('C0101', 0.8921), ('C0141', 0.8227), ('C0054', 0.7922)]"
C0040,"[('C0022', 0.6912), ('C0200', 0.6369), ('C0006', 0.5136)]"
C0041,"[('C0075', 0.8965), ('C0114', 0.6792), ('C0138', 0.6566)]"
C0045,"[('C0054', 0.7824), ('C0096', 0.6895), ('C0102', 0.6885)]"
C0054,"[('C0141', 0.8143), ('C0173', 0.8104), ('C0028', 0.7922)]"
C0059,"[('C0173', 0.7375), ('C0104', 0.7335), ('C0054', 0.696)]"
C0065,"[('C0068', 0.6986), ('C0028', 0.6684), ('C0075', 0.6639)]"
C0068,"[('C0156', 0.7351), ('C0065', 0.6986), ('C0101', 0.6809)]"
C0075,"[('C0041', 0.8965), ('C0065', 0.6639), ('C0004', 0.6063)]"
C0082,"[('C0165', 0.914), ('C0188', 0.9042), ('C0155', 0.8383)]"
C0084,"[('C0101', 0.7826), ('C0021', 0.6768), ('C0156', 0.6453)]"
C0087,"[('C0102', 0.9099), ('C0168', 0.8379), ('C0165', 0.7436)]"
C0093,"[('C0022', 0.8861), ('C0145', 0.8693), ('C0175', 0.8652)]"
C0096,"[('C0163', 0.7596), ('C0168', 0.719), ('C0148', 0.6973)]"
C0099,"[('C0013', 0.9512), ('C0188', 0.9211), ('C0165', 0.7974)]"
C0101,"[('C0028', 0.8921), ('C0021', 0.8851), ('C0084', 0.7826)]"
C0102,"[('C0087', 0.9099), ('C0045', 0.6885), ('C0168', 0.6801)]"
C0104,"[('C0012', 0.8887), ('C0113', 0.8202), ('C0004', 0.8125)]"
C0108,"[('C0153', 0.7066), ('C0169', 0.6977), ('C0104', 0.6669)]"
C0109,"[('C0156', 0.7742), ('C0175', 0.7711), ('C0145', 0.7113)]"
C0113,"[('C0012', 0.903), ('C0004', 0.8769), ('C0104', 0.8202)]"
C0114,"[('C0041', 0.6792), ('C0141', 0.6516), ('C0045', 0.6203)]"
C0136,"[('C0138', 0.7709), ('C0148', 0.6158), ('C0012', 0.5962)]"
C0138,"[('C0143', 0.7893), ('C0136', 0.7709), ('C0200', 0.7284)]"
C0141,"[('C0028', 0.8227), ('C0054', 0.8143), ('C0175', 0.7665)]"
C0143,"[('C0145', 0.8462), ('C0138', 0.7893), ('C0173', 0.7577)]"
C0145,"[('C0175', 0.8983), ('C0093', 0.8693), ('C0143', 0.8462)]"
C0148,"[('C0163', 0.9276), ('C0012', 0.8086), ('C0104', 0.7514)]"
C0153,"[('C0171', 0.8402), ('C0082', 0.8298), ('C0155', 0.8223)]"
C0155,"[('C0165', 0.8876), ('C0188', 0.8459), ('C0082', 0.8383)]"
C0156,"[('C0175', 0.8016), ('C0101', 0.7808), ('C0109', 0.7742)]"
C0162,"[('C0113', 0.708), ('C0173', 0.7065), ('C0012', 0.6984)]"
C0163,"[('C0148', 0.9276), ('C0012', 0.8648), ('C0113', 0.8067)]"
C0165,"[('C0082', 0.914), ('C0188', 0.9079), ('C0155', 0.8876)]"
C0168,"[('C0087', 0.8379), ('C0096', 0.719), ('C0102', 0.6801)]"
C0169,"[('C0006', 0.7878), ('C0082', 0.7755), ('C0165', 0.7515)]"
C0171,"[('C0153', 0.8402), ('C0082', 0.8278), ('C0155', 0.8174)]"
C0173,"[('C0054', 0.8104), ('C0143', 0.7577), ('C0059', 0.7375)]"
C0175,"[('C0145', 0.8983), ('C0093', 0.8652), ('C0156', 0.8016)]"
C0188,"[('C0099', 0.9211), ('C0165', 0.9079), ('C0082', 0.9042)]"
C0200,"[('C0138', 0.7284), ('C0099', 0.6638), ('C0145', 0.6551)]"
C0001,"[('C0181', 0.8495), ('C0120', 0.7808), ('C0091', 0.7515)]"
C0002,"[('C0159', 0.8754), ('C0106', 0.8588), ('C0178', 0.8104)]"
C0003,"[('C0091', 0.8063), ('C0120', 0.7556), ('C0129', 0.7225)]"
C0005,"[('C0123', 0.8356), ('C0186', 0.821), ('C0140', 0.8076)]"
C0007,"[('C0140', 0.7812), ('C0005', 0.7771), ('C0123', 0.5816)]"
C0011,"[('C0107', 0.7482), ('C0190', 0.7382), ('C0191', 0.7106)]"
C0025,"[('C0071', 0.9526), ('C0052', 0.8494), ('C0077', 0.8268)]"
C0027,"[('C0142', 0.7129), ('C0092', 0.6789), ('C0056', 0.6241)]"
C0031,"[('C0076', 0.8846), ('C0095', 0.852), ('C0071', 0.8075)]"
C0032,"[('C0083', 0.9826), ('C0077', 0.9371), ('C0025', 0.8146)]"
C0039,"[('C0195', 0.9767), ('C0133', 0.8273), ('C0048', 0.7557)]"
C0043,"[('C0186', 0.7941), ('C0177', 0.7597), ('C0032', 0.7255)]"
C0048,"[('C0195', 0.8171), ('C0152', 0.7809), ('C0181', 0.7751)]"
C0052,"[('C0071', 0.8868), ('C0025', 0.8494), ('C0095', 0.8157)]"
C0056,"[('C0092', 0.8838), ('C0142', 0.764), ('C0088', 0.6611)]"
C0071,"[('C0025', 0.9526), ('C0095', 0.9149), ('C0052', 0.8868)]"
C0076,"[('C0031', 0.8846), ('C0133', 0.7859), ('C0071', 0.7618)]"
C0077,"[('C0032', 0.9371), ('C0083', 0.8991), ('C0071', 0.8395)]"
C0078,"[('C0123', 0.7604), ('C0177', 0.7117), ('C0140', 0.706)]"
C0083,"[('C0032', 0.9826), ('C0077', 0.8991), ('C0025', 0.7796)]"
C0085,"[('C0095', 0.7804), ('C0152', 0.7467), ('C0120', 0.7234)]"
C0088,"[('C0186', 0.755), ('C0056', 0.6611), ('C0146', 0.6534)]"
C0090,"[('C0161', 0.6025), ('C0184', 0.3434), ('C0147', 0.3194)]"
C0091,"[('C0120', 0.8072), ('C0003', 0.8063), ('C0001', 0.7515)]"
C0092,"[('C0056', 0.8838), ('C0106', 0.7216), ('C0159', 0.7208)]"
C0095,"[('C0071', 0.9149), ('C0031', 0.852), ('C0052', 0.8157)]"
C0106,"[('C0134', 0.8763), ('C0002', 0.8588), ('C0159', 0.8323)]"
C0107,"[('C0011', 0.7482), ('C0190', 0.7039), ('C0129', 0.6085)]"
C0112,"[('C0120', 0.8627), ('C0192', 0.8547), ('C0071', 0.7255)]"
C0115,"[('C0140', 0.713), ('C0078', 0.6843), ('C0177', 0.5438)]"
C0118,"[('C0147', 0.8929), ('C0191', 0.8557), ('C0137', 0.8519)]"
C0120,"[('C0112', 0.8627), ('C0091', 0.8072), ('C0001', 0.7808)]"
C0123,"[('C0005', 0.8356), ('C0146', 0.7835), ('C0078', 0.7604)]"
C0126,"[('C0191', 0.8617), ('C0137', 0.8564), ('C0174', 0.8553)]"
C0129,"[('C0095', 0.7474), ('C0003', 0.7225), ('C0133', 0.6995)]"
C0133,"[('C0195', 0.8609), ('C0039', 0.8273), ('C0076', 0.7859)]"
C0134,"[('C0106', 0.8763), ('C0002', 0.7843), ('C0159', 0.7734)]"
C0137,"[('C0174', 0.9578), ('C0191', 0.8956), ('C0126', 0.8564)]"
C0140,"[('C0005', 0.8076), ('C0007', 0.7812), ('C0186', 0.7612)]"
C0142,"[('C0056', 0.764), ('C0159', 0.7428), ('C0002', 0.7346)]"
C0146,"[('C0177', 0.8909), ('C0123', 0.7835), ('C0005', 0.7369)]"
C0147,"[('C0118', 0.8929), ('C0137', 0.717), ('C0174', 0.6992)]"
C0151,"[('C0077', 0.7457), ('C0031', 0.7013), ('C0129', 0.6603)]"
C0152,"[('C0048', 0.7809), ('C0085', 0.7467), ('C0076', 0.745)]"
C0158,"[('C0133', 0.7435), ('C0039', 0.7011), ('C0048', 0.6864)]"
C0159,"[('C0002', 0.8754), ('C0178', 0.8357), ('C0106', 0.8323)]"
C0161,"[('C0147', 0.6267), ('C0090', 0.6025), ('C0043', 0.5002)]"
C0174,"[('C0137', 0.9578), ('C0191', 0.9483), ('C0126', 0.8553)]"
C0177,"[('C0146', 0.8909), ('C0186', 0.863), ('C0043', 0.7597)]"
C0178,"[('C0159', 0.8357), ('C0106', 0.8322), ('C0002', 0.8104)]"
C0181,"[('C0001', 0.8495), ('C0190', 0.7958), ('C0048', 0.7751)]"
C0184,"[('C0192', 0.7851), ('C0001', 0.6855), ('C0181', 0.6441)]"
